date,시구,행정동,담당 우체국명,event_type,allocation_event_type,plan_ids,집배원수,세대수,사업체수,면적 (㎢),행정동_위도,행정동_경도,담당 우체국 위도,담당 우체국 경도,office_dong_distance_km,no_event_allocated_volume,allocated_volume_low,allocated_volume_base,allocated_volume_high,event_added_volume_base,no_event_volume_per_courier,volume_per_courier_low,volume_per_courier_base,volume_per_courier_high,event_added_volume_per_courier_base,no_event_load_score,load_score_base,distance_score,area_score,no_event_relative_lt_risk_index,relative_lt_risk_index_low,relative_lt_risk_index_base,relative_lt_risk_index_high,event_risk_delta_low,event_risk_delta_base,event_risk_delta_high,relative_risk_level_low,relative_risk_level_base,relative_risk_level_high,daily_priority_rank_low,daily_priority_rank_base,daily_priority_rank_high,event_uplift_rank_low,event_uplift_rank_base,event_uplift_rank_high
2026-01-02,중구,부사동,서대전우체국,없음,없음,없음,2.507,3421,1274,1.14,36.311544139658,127.43267478703264,36.3344823,127.3979405,4.024,515.2118629022518,515.2118629022518,515.2118629022518,515.2118629022518,0.0,205.51,205.51,205.51,205.51,0.0,58.935,58.935,64.198,29.63,57.057,57.057,57.057,57.057,0.0,0.0,0.0,Normal,Normal,Normal,34,34,34,,,
2026-01-02,동구,효동,대전우체국,없음,없음,없음,5.221,8968,2107,2.41,36.31036013413472,127.4565776733535,36.3289462,127.433855,2.901,1050.7151670996564,1050.7151670996564,1050.7151670996564,1050.7151670996564,0.0,201.25,201.25,201.25,201.25,0.0,57.642,57.642,53.086,60.494,57.016,57.016,57.016,57.016,0.0,0.0,0.0,Normal,Normal,Normal,35,35,35,,,
2026-01-02,서구,월평1동,대전둔산우체국,없음,없음,없음,4.902,7630,2176,2.8,36.34361442053737,127.35652623378532,36.3518707,127.3862544,2.816,987.2118583429652,987.2118583429652,987.2118583429652,987.2118583429652,0.0,201.39,201.39,201.39,201.39,0.0,57.682,57.682,50.617,63.58,56.859,56.859,56.859,56.859,0.0,0.0,0.0,Normal,Normal,Normal,36,36,36,,,
2026-01-02,서구,도마1동,대전둔산우체국,없음,없음,없음,5.525,9732,2140,1.63,36.31869308760175,127.38169731223252,36.3518707,127.3862544,3.712,1104.5883323025816,1104.5883323025816,1104.5883323025816,1104.5883323025816,0.0,199.93,199.93,199.93,199.93,0.0,57.164,57.164,60.494,46.914,56.805,56.805,56.805,56.805,0.0,0.0,0.0,Normal,Normal,Normal,37,37,37,,,
2026-01-02,대덕구,법1동,대전대덕우체국,없음,없음,없음,2.587,5857,562,0.71,36.37128414285752,127.42585558094534,36.4474738,127.4003943,8.773,488.17867277633997,488.17867277633997,488.17867277633997,488.17867277633997,0.0,188.7,188.7,188.7,188.7,0.0,53.67,53.67,90.123,10.494,56.643,56.643,56.643,56.643,0.0,0.0,0.0,Normal,Normal,Normal,38,38,38,,,
2026-01-02,동구,용운동,대전우체국,없음,없음,없음,5.244,10330,1805,3.47,36.3334543818643,127.46197998935912,36.3289462,127.433855,2.569,1058.976242304521,1058.976242304521,1058.976242304521,1058.976242304521,0.0,201.94,201.94,201.94,201.94,0.0,57.876,57.876,45.679,69.136,56.563,56.563,56.563,56.563,0.0,0.0,0.0,Normal,Normal,Normal,39,39,39,,,
2026-01-02,유성구,상대동,대전유성우체국,없음,없음,없음,4.356,9173,1455,2.5,36.34053279332082,127.32904588758936,36.354967,127.344751,2.134,904.4031574250412,904.4031574250412,904.4031574250412,904.4031574250412,0.0,207.62,207.62,207.62,207.62,0.0,59.508,59.508,41.975,61.728,56.223,56.223,56.223,56.223,0.0,0.0,0.0,Normal,Normal,Normal,40,40,40,,,
2026-01-02,중구,문화2동,서대전우체국,없음,없음,없음,2.883,5924,949,1.46,36.3074818325631,127.40249279950352,36.3344823,127.3979405,3.03,586.3454255995762,586.3454255995762,586.3454255995762,586.3454255995762,0.0,203.38,203.38,203.38,203.38,0.0,58.358,58.358,54.321,40.741,55.789,55.789,55.789,55.789,0.0,0.0,0.0,Normal,Normal,Normal,41,41,41,,,
2026-01-02,동구,가양2동,대전우체국,없음,없음,없음,5.169,9766,1863,1.68,36.34844195921923,127.45406473342942,36.3289462,127.433855,2.824,1039.2421947682844,1039.2421947682844,1039.2421947682844,1039.2421947682844,0.0,201.05,201.05,201.05,201.05,0.0,57.584,57.584,51.852,49.383,55.617,55.617,55.617,55.617,0.0,0.0,0.0,Normal,Normal,Normal,42,42,42,,,
2026-01-02,유성구,온천2동,대전유성우체국,없음,없음,없음,12.0,21408,4850,7.0,36.36963958741781,127.35154276208392,36.354967,127.344751,1.741,2464.49495125034,2464.49495125034,2464.49495125034,2464.49495125034,0.0,205.37,205.37,205.37,205.37,0.0,58.862,58.862,25.926,81.481,54.537,54.537,54.537,54.537,0.0,0.0,0.0,Normal,Normal,Normal,43,43,43,,,
